abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"RIOMILCO","=""12/21/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/22/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/23/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/24/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/25/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/26/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/27/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/28/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/29/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/30/1985 00:00""","","cfs","","","",
"RIOMILCO","=""12/31/1985 00:00""","","cfs","","","",
"RIOMILCO","=""01/01/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/02/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/03/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/04/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/05/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/06/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/07/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/08/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/09/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/10/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/11/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/12/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/13/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/14/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/15/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/16/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/17/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/18/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/19/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/20/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/21/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/22/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/23/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/24/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/25/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/26/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/27/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/28/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/29/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/30/1986 00:00""","","cfs","","","",
"RIOMILCO","=""01/31/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/01/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/02/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/03/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/04/1986 00:00""","","cfs","","","",
